63, 63, 55, 59, 2.4
66, 65, 63, 63, 2.57
62, 65, 60, 61, 2.48
51, 62, 58, 59, 2.3000000000000003
52, 63, 59, 58, 2.32
52, 63, 62, 60, 2.37
53, 60, 59, 54, 2.2600000000000002
56, 65, 62, 55, 2.38
57, 64, 61, 58, 2.4
59, 64, 63, 58, 2.44
59, 64, 65, 60, 2.48
50, 62, 64, 61, 2.37
49, 62, 62, 61, 2.34
52, 63, 62, 63, 2.4
49, 58, 60, 57, 2.24
51, 63, 65, 60, 2.39
53, 62, 69, 60, 2.44
48, 58, 70, 54, 2.3000000000000003
44, 61, 67, 54, 2.2600000000000002
45, 61, 63, 56, 2.25
44, 60, 60, 54, 2.18
48, 54, 58, 57, 2.17
48, 48, 53, 56, 2.05
52, 50, 58, 57, 2.17
50, 45, 54, 56, 2.05
48, 49, 51, 53, 2.0100000000000002
47, 44, 50, 53, 1.94
48, 47, 53, 55, 2.0300000000000002
50, 48, 54, 56, 2.08
55, 50, 55, 59, 2.19
52, 53, 53, 57, 2.15
52, 49, 54, 57, 2.12
53, 49, 53, 57, 2.12
51, 51, 54, 58, 2.14
55, 52, 51, 58, 2.16
56, 53, 54, 59, 2.22
55, 48, 53, 58, 2.14
59, 48, 55, 58, 2.2
60, 46, 55, 61, 2.22
57, 50, 53, 60, 2.2
60, 51, 51, 56, 2.18
58, 52, 46, 52, 2.08
58, 47, 43, 48, 1.96
63, 51, 44, 56, 2.14
62, 51, 41, 57, 2.11
63, 54, 41, 58, 2.16
64, 52, 43, 57, 2.16
73, 53, 38, 58, 2.22
74, 51, 38, 57, 2.2
76, 48, 38, 55, 2.17
75, 47, 38, 55, 2.15
77, 45, 38, 56, 2.16
77, 50, 41, 62, 2.3000000000000003
69, 47, 38, 62, 2.16
61, 46, 38, 64, 2.09
62, 48, 38, 67, 2.15
60, 41, 40, 62, 2.0300000000000002
57, 42, 40, 60, 1.99
55, 46, 43, 60, 2.04
56, 47, 44, 60, 2.07
54, 45, 45, 59, 2.0300000000000002
54, 47, 49, 59, 2.09
54, 46, 48, 59, 2.07
54, 45, 47, 55, 2.0100000000000002
59, 46, 46, 53, 2.04
57, 42, 49, 51, 1.99
53, 41, 51, 48, 1.93
53, 42, 46, 43, 1.84
51, 46, 49, 39, 1.85
48, 50, 48, 39, 1.85
54, 51, 50, 42, 1.97
52, 53, 44, 41, 1.9000000000000001
53, 52, 44, 42, 1.9100000000000001
54, 59, 45, 48, 2.06
54, 58, 43, 47, 2.02
53, 59, 39, 47, 1.98
50, 56, 39, 45, 1.9000000000000001
53, 57, 42, 43, 1.95
49, 56, 40, 42, 1.87
49, 54, 45, 40, 1.8800000000000001
42, 55, 46, 43, 1.86
43, 53, 44, 38, 1.78
45, 54, 45, 40, 1.84
45, 53, 48, 41, 1.87
43, 46, 47, 40, 1.76
45, 45, 45, 39, 1.74
45, 50, 46, 35, 1.76
49, 49, 44, 33, 1.75
48, 45, 44, 35, 1.72
47, 48, 48, 34, 1.77
46, 47, 47, 36, 1.76
38, 43, 47, 36, 1.6400000000000001
34, 43, 48, 36, 1.61
31, 40, 45, 34, 1.5
35, 44, 47, 34, 1.6
39, 46, 49, 36, 1.7
37, 43, 47, 35, 1.62
38, 42, 47, 36, 1.6300000000000001
36, 39, 47, 37, 1.59
39, 44, 49, 42, 1.74
45, 48, 48, 41, 1.82
48, 51, 51, 47, 1.97
48, 50, 50, 49, 1.97
50, 48, 52, 45, 1.95
46, 50, 52, 47, 1.95
46, 54, 50, 46, 1.96
47, 54, 48, 49, 1.98
51, 56, 50, 49, 2.06
48, 53, 46, 49, 1.96
53, 55, 46, 55, 2.09
55, 57, 47, 55, 2.14
53, 55, 49, 53, 2.1
52, 56, 50, 55, 2.13
47, 54, 48, 55, 2.04
48, 57, 51, 58, 2.14
50, 56, 52, 56, 2.14
51, 58, 48, 57, 2.14
49, 56, 47, 55, 2.07
50, 56, 47, 56, 2.09
50, 57, 47, 58, 2.12
50, 59, 46, 62, 2.17
51, 56, 48, 62, 2.17
54, 57, 52, 62, 2.25
53, 51, 57, 62, 2.23
57, 52, 61, 72, 2.42
61, 54, 65, 73, 2.5300000000000002
63, 57, 66, 78, 2.64
61, 55, 66, 73, 2.5500000000000003
55, 51, 63, 73, 2.42
58, 50, 62, 76, 2.46
59, 52, 66, 77, 2.54
62, 51, 68, 77, 2.58
68, 49, 73, 79, 2.69
